object_id,aligned_location
911874,China
61658,China
448663,Iran or Central Asia
764091,Peru (Cuzco)
551786,Middle Egypt
472562,Byzantine
900001,American
503651,China
42188,China
207247,French
78191,Central Tibet
329077,Mesopotamia
42733,China
53660,Japan
310453,Democratic Republic of the Congo
437422,Italian
764095,Peru (Cuzco)
206965,French
317877,Ethiopia
459027,Italian
459028,Italian
544320,Northern Upper Egypt
53162,Japan
200668,French
544740,Egypt
39901,China
53176,Japan
435848,Italian
42515,China
205883,German
816189,Japan
776714,China
824771,French
53190,Japan
192770,Italian
53222,Japan
438821,French
460281,Northern France (?)
38006,Tibet
452102,Syria
49068,Japan
207157,French
237451,French
,Chinese
25247,China
4942,France
15010,Burslem
7111,France
15014,Burslem
143675,United States
15012,Burslem
220492,United States
139465,United States
19935,United States
73995,United States
22746,France
20000,United States
138054,United States
227552,England
60915,China
189775,Beauvais
48,France
15033,Burslem
14447,United States
119371,United States
199136,Czech Republic
32740,England
188274,Shanghai
147872,Paris
75330,China
121044,United States
65,France
139460,United States
139562,United States
48846,France
266210,Philadelphia
101573,United States
109169,United States
194369,United States
194370,United States
147873,Paris
101574,United States
135,China
111962,United States
184562,Japan
15030,Burslem
134,China
19970,United States
80494,New York City
38985,England
139470,United States
7934,Jingdezhen
191156,Japan
29530,United States
53832,Japan
109200,United States
139462,United States
148877,California
18438,China
101571,United States
80112,United States
86380,China
2583,Jingdezhen
137970,United States
29408,United States
132651,United States
3446,France
43060,China
18467,China
137976,United States
185963,China
2728,Jingdezhen
46808,United States
12270,China
12054,China
35376,China
32532,China
2511,China
4453,China
109184,United States
50502,Jouy-en-Josas
22042,Japan
29149,China
18568,China
21284,China
14460,China
2344,Jingdezhen
190614,United States
60912,China
70115,China
200412,England
15906,China
5006,China
15722,China
182878,China
14474,United States
8056,France
12552,China
8636,France
18522,China
12476,China
12086,China
27925,China
21653,China
23497,China
4450,China
70003,China
32631,China
12380,China
212904,United States
21296,China
7931,Jingdezhen
48991,China
10522,China
12123,China
147008,China
35367,China
12229,China
12763,China
31955,China
22200,China
82071,France
12284,China
12198,China
150533,United States
15742,China
2532,Junyao
88724,China
20392,China
15910,China
147007,China
9734,China
199164,Czech Republic
12491,China
73236,China
11098,France
26647,China
7967,China
108586,China
9613,China
55906,China
12242,China
12474,China
36417,Scotland
64461,China
12485,China
7903,Jingdezhen
21517,China
12221,China
58159,China
10489,China
64435,China
14644,China
32945,China
178888,Lyon
7889,China
149681,China
186784,China
151925,United States
22732,France
27741,France
22574,China
12986,China
21366,China
8050,France
15988,France
12247,China
12483,China
181704,Lyon
15586,China
105944,Japan
21280,China
21644,China
12945,China
63513,France
21289,China
12183,China
90303,China
65914,China
21375,China
21363,China
11140,France
21531,China
12099,China
21238,China
12634,China
21721,China
41910,China
21187,China
21313,China
18014,China
18582,China
47168,Norway
7925,Jingdezhen
33997,China
79895,France
3330,China
36418,Scotland
142531,China
12119,China
21241,China
53517,China
22708,France
73254,China
111365,France
42879,China
21282,China
12059,China
2517,Jingdezhen
35381,China
83812,France
60877,China
18473,China
49603,China
8093,France
7521,China
26882,China
22725,France
74965,Mexico
59461,China
23502,China
73201,China
99658,China
22210,China
109689,France
5918,China
28487,China
14811,China
183894,China
22744,France
12981,China
70117,China
32492,Japan
42271,China
12636,China
89452,China
12622,China
42786,China
53544,China
108598,France
12688,France
59464,China
23651,France
192727,China
